Fuente,Titulo,URL,Titulo_Limpio,Contenido,Sentimiento_recalculado,Polaridad_recalculada,Menciones_Noboa,Menciones_Gonzalez,Temas
El Comercio,Revolución Ciudadana busca impugnar resultados de la segunda vuelta: ¿qué caminos tiene?CNE negó los reclamos de Revolución Ciudadana sobre las actas de la segunda vuelta presidencial de 2025..hace 1 día,https://www.elcomercio.com/actualidad/politica/revolucion-ciudadana-resultados-impugnar-segunda-vuelta.html,Revolución Ciudadana busca impugnar resultados de la segunda vuelta: ¿qué caminos tiene?CNE negó los reclamos de Revolución Ciudadana sobre las actas de la segunda vuelta presidencial de 2025.hace 1 día,"ElPleno del Consejo Nacional Electoral (CNE)negó el24 de abril de 2025 la reclamación presentada por la alianza Revolución Ciudadana-Reto (Lista 5-33), que respaldó a la candidataLuisa González. La solicitud buscaba anular cerca de1 800 actas de la segunda vuelta presidencial, en la que Daniel Noboa obtuvo el 55,63% de los votos. El informe jurídico del CNE concluyó que, tras la revisión de lasactas impugnadas, no existenfundamentos jurídicos ni técnicosque justifiquen laapertura de urnas ni el recuento de votos. El documento fue aprobado por unanimidad de los consejerosEnrique Pita, Diana Atamaint, José Cabrera y Esthela Acero. El23 de abril de 2025,Revolución Ciudadanadifundió un informe en el que planteó una hipótesis de fraude electoral por transferencia de tinta. El documento deseis páginas se divulgó a través del canal oficialde la candidatura presidencial deLuisa González. Se presentó enpapel membretado y firmadocomo informe técnico-argumentativo de“expertos internacionales”cuyos nombres no fueron revelados. El informe contienesiete apartados que incluyen una introducción, un análisis del proceso electoral y supuestasinconsistencias estadísticas. En el cuarto apartado se describe la hipótesis de que, al doblar la papeleta, la tinta habría transferido lamarca hacia el casillero de Daniel Noboa. Se sugiere que esto habría ocurrido sin alterar elsistema informático ni manipular masivamente las actas. El documento exponetres elementosque habrían facilitado la transferencia de tinta. El primero es el uso de bolígrafos o tintas especiales queno se secan rápidamente y son susceptibles al contacto. El segundo consiste en la posible utilización depapel tratado para favorecer la transferencia de la tintaen zonas específicas. El tercero señala la simetría deldiseño de la papeleta, característica de los balotajes. SegúnRevolución Ciudadana, el mecanismo habría permitido la transferencia de votos a favor de Noboa en un porcentaje estratégicamente distribuido. No se plantea la necesidad de unamanipulación del sistema informático. La hipótesis sugiere que el control de los insumos habría bastado para alterar los resultados de manera física. Laalianza Revolución Ciudadana-Retoingresó cuatro reclamos sobre las actas de la segunda vuelta. El primero pedía la anulación de343 actas por supuestas inconsistencias en las firmas de los documentos. El segundo solicitaba la anulación de171 actas por la falta de firma del secretario de mesa. El tercero señalaba780 actas con ausencia de firma del presidente y secretario de mesa. El cuarto cuestionaba440 actas por supuestas inconsistencias numéricas. El informe jurídico del CNE, sustentado en losartículos 143 y 144 del Código de la Democracia, verificó que todas las actas tienen las firmas requeridas en anverso, reverso o ambas páginas. En cuanto a las supuestas inconsistencias numéricas, se determinó que loserrores son mínimos. Según el principio de determinancia electoralavalado por el Tribunal Contencioso Electoral, no se justificaba un recuento. La solicitud fue negada concuatro votos afirmativos. Laproclamación numérica se realizó el 24 de abrilen sesión del pleno del CNE, con la participación de cuatro de los cinco consejeros. Tras la proclamación de resultados numéricos, la ley permite que lossujetos políticos presenten impugnaciones ante el mismo CNE. Este recurso puede interponerse hasta el domingo 27 de abril de 2025 posterior a la resolución. En caso de que el Consejo considere que los argumentos ya fueron tratados, lasimpugnaciones serán negadas. Esta posibilidad se considera alta debido a que el organismo ya resolvió sobre las actas objetadas. Frente a esto, la opción de los actores políticosserá acudir al Tribunal Contencioso Electoral (TCE). El TCE puede recibirapelaciones sobre la proclamación de resultadossi los sujetos políticos deciden avanzar con este proceso. Cada recurso debeseguir los tiempos previstos en la normativa electoral vigente. La proclamación definitiva de resultadosno se concretará hasta que el TCE certifique que no existen recursos pendientes. Esa certificación es elpaso final antes de que el CNE declare formalmente al binomio ganador. Hasta entonces, el proceso electoral sigue abierto desde el punto de vista jurídico. Desde elConsejo Nacional Electoraltienen previsto proclamar resultados de la segunda vuelta hasta máximo el16 de mayo de 2024.",neutro,0.0,5,0,Otros
El Comercio,"CNE no proclama resultados de la segunda vuelta por nuevos reclamos de la Revolución CiudadanaEste martes, 22 de marzo de 2025, el Pleno del Consejo Nacional Electoral (CNE) reinstaló la audiencia pública de escrutinio de la segunda....hace 4 días",https://www.elcomercio.com/elecciones/cne-no-proclama-resultados-segunda-vuelta-nuevos-reclamos-revolucion-ciudadana.html,"CNE no proclama resultados de la segunda vuelta por nuevos reclamos de la Revolución CiudadanaEste martes, 22 de marzo de 2025, el Pleno del Consejo Nacional Electoral (CNE) reinstaló la audiencia pública de escrutinio de la segunda.hace 4 días","Este martes, 22 de marzo de 2025, el Pleno delConsejo Nacional Electoral (CNE)reinstaló la audiencia pública de escrutinio de la segunda vuelta. Los finalistas fueron Daniel Noboa y Luisa González. Se conocieron los resultados del exterior. La alianzaRevolución Ciudadana-Reto, el sábado 19 de abril,presentó reclamaciones ante el organismo electoral, que incluye declarar la nulidad de los escrutinios. No obstante, estas fueron negadas, tras un informe que definió que no hay sustentos. Este marte, 22 de abril de 2025, ingresaron nuevas reclamaciones por parte de la organización política. La presidenta del CNE,Diana Atamaint, indicó que hasta evaluarlas y contar con un informe de las áreas técnicas, se suspende la audiencia pública de escrutinio. Aún no se conoce en qué consisten esas reclamaciones, que ingresaron por la Secretaría General del organismo electoral. Los reclamos de la alianza que respaldó la candidatura presidencial de Luisa González son cuatro: El análisis de los pedidos no tiene un tiempo definido aún. Lasáreas técnicasdeberán revisar las actas que se incluyen en el pedido. Diana Atamaintindicó que la proclamación de resultados dependerá de la evaluación de los documentos motivo de las reclamaciones. El proceso incluye la comparación del acta presentada con la información que consta en el sistema electoral. “Es un trámite no complicado y elexamen jurídicodirá si aplica el recurso”. La Presidenta delCNErecordó que las organizaciones pueden apelar y llevar el trámite alTribunal Contencioso Electoral (TCE). SegúnAtamaint, en las provincias ya se están entregando las credenciales a lasnuevas autoridades. En el caso de los asambleístas, la totalidad se prevé hasta el 10 o, incluso, 11 de mayo. Los nuevos legisladores se posesionarán el 14 de ese mes. El 16 de mayo, en cambio, será el turno delbinomio presidencial. Aunque, a decir de la Presidenta, es una fecha tentativa. Hasta ese momento, todos los recursos ya deberían estar resueltos.",positivo,0.05000000000000002,2,0,Renovación Política
El Comercio,CNE negó pedido de Revolución Ciudadana y proclamó resultados numéricos de segunda vueltaEl Pleno del Consejo Nacional Electoral (CNE) negó este 24 de abril de 2025 la reclamación presentada por la alianza Revolución....hace 2 días,https://www.elcomercio.com/actualidad/politica/cne-rechaza-pedido-revolucion-ciudadana-proclama-daniel-noboa-como-ganador.html,CNE negó pedido de Revolución Ciudadana y proclamó resultados numéricos de segunda vueltaEl Pleno del Consejo Nacional Electoral (CNE) negó este 24 de abril de 2025 la reclamación presentada por la alianza Revolución.hace 2 días,"ElPleno del Consejo Nacional Electoral(CNE) negó este 24 de abril de 2025 la reclamación presentada por la alianzaRevolución Ciudadana-Reto (Lista 5-33), que respaldó la candidatura deLuisa González. La solicitud buscaba anular cerca de 1 800 actas de la segunda vuelta presidencial, en la queDaniel Noboase impuso con el 55, 6% de los votos. El informe jurídico del CNE concluyó que, tras la revisión de las actas impugnadas, no existen fundamentos jurídicos ni técnicos que justifiquen laapertura de urnas ni el recuento de votos, ya que no alterarán el resultado final de la elección. El documento fue aprobado por unanimidad, con cuatro votos a favor de los consejeros: Enrique Pita, Diana Atamaint, José Cabrera y Esthela Acero. Una vez revisadas las reclamaciones, el CNE recibió el reporte totalizado al 100% de los resultados de la segunda vuelta de las elecciones generalesEcuador 2025. Según el documento, con una participación del 82,98% de los 13,7 millones de electores, se registraron 4,68 millones de votos (44,37%) paraLuisa Gonzálezy 5,87 millones de votos (55,63%) paraDaniel Noboa. Los reclamos de la alianza que respaldó la candidatura presidencial de Luisa González son cuatro: La primera: 343 actas (porque supuestamente no coinciden las firmas)La segunda: 171 actas (por falta de firma secretario)La tercera: 780 actas (por falta de firma presidente y secretario)La cuarta: 440 actas (supuesta inconsistencia numérica) El informe jurídico del CNE concluye que no existe ninguna causal para declarar la nulidad de las votaciones, conforme al artículo143y144 del Código de la Democracia. Tras analizar las actas, se verificó que todas cuentan con las firmas requeridas, ya sea en el anverso, reverso o en ambas páginas. En cuanto a las inconsistencias numéricas, dijo que son mínimos y que no alterarán los resultados. Por tanto, no justifican un recuento, conforme al principio de determinancia electoral avalado por la jurisprudencia delTribunal Contencioso Electoral. Además, la directora nacional de Asesoría Jurídica del CNE,Nora Guzmán, informó que la alianza ingresó cuatro escritos a laSecretaría Generalcomo reclamaciones según elCódigo de la Democracia. Tres solicitan lanulidad de votaciones y uno la nulidad de escrutinios, pero no cumplen los requisitos legales ni presentan pruebas documentales válidas, dijo. Así, este jueves 24 de abril de 2025, el Pleno del CNE, con cuatro votos a favor, aprobó el informe jurídico 060-DNJ-CNE-2025 y negó la solicitud de la alianzaRevolución Ciudadana-Reto.  ",neutro,0.0,4,0,Otros
El Comercio,"Provincias de Ecuador tuvieron un giro entre la primera y segunda vueltaLa segunda vuelta presidencial en Ecuador, celebrada el pasado 13 de abril de 2025, mostró variaciones importantes en las provincias en el....hace 1 día",https://www.elcomercio.com/actualidad/politica/asifue-giro-electoral-provincias-ecuador-primera-segunda-vuelta.html,"Provincias de Ecuador tuvieron un giro entre la primera y segunda vueltaLa segunda vuelta presidencial en Ecuador, celebrada el pasado 13 de abril de 2025, mostró variaciones importantes en las provincias en el.hace 1 día","Lasegunda vuelta presidencial en Ecuador, celebrada el pasado 13 de abril de 2025, mostró variaciones importantes en las provincias en el respaldo electoral haciaDaniel Noboa y Luisa González. En la primera vuelta, la elección contó con 16 candidatos, lo que dispersó los votos; mientras que en el balotaje solo compitieronNoboa y González, concentrando el apoyo de los votantes. A escala nacional,Noboa alcanzó el 55,63% frente al 44,37% de González. Esta diferencia representa un crecimiento sostenido para Noboa, quien en la primera vuelta obtuvo el44,17% de votos, mientras que González se mantuvo con unavariación mínima frente al 44% inicial. El comportamiento electoral varió entre provincias y regiones, con particularidades que reflejan dinámicas territoriales específicas. Daniel Noboa en la Sierra consolidó suventaja en provincias como Chimborazo y Tungurahua. EnChimborazo, su porcentaje subió del52,18% al 70,43%, mientras que enTungurahuapasó del60,98% al 78,55%. En provincias comoAzuay y Cañar, Noboa también fortaleció su posición, aunque con diferencias menos marcadas. Luisa Gonzálezmantuvo la delantera enManabí, Los Ríos y Santa Elena. En Manabí, la candidata subió del63,17% en primera vuelta al 63,45%en la segunda. En Los Ríos y Santa Elena, González también conservó una ventaja, aunque Noboa logróacortar distancias en comparación con la primera vuelta. Por su parte, en laregión Amazónica,Noboa amplió su ventaja en territorios comoMorona Santiago, Napo y Pastaza.En Morona Santiago, Noboa pasó del51,49% en primera vuelta al 71,35% en la segunda. Napo registró un crecimiento de Noboa de54,91% a 73,07%, mientras que en Pastaza el candidato subió de58,71% a 75,4%. En Zamora Chinchipe y Orellana también se observó un fortalecimiento del apoyo a Noboa. Zamora Chinchipe pasó de59,61% a 71,22%, mientras que en Orellana, Noboase posicionó con el 51,75%, tras haber logrado 39,54% en la primera vuelta. González solo retuvo la mayoría enSucumbíos con el 58,53%, ligeramente superior al 58% de la primera vuelta. A nivel nacional, el apoyo aNoboa creció 11,46 puntos porcentuales entre la primera y la segunda vuelta. González semantuvo estable en sus resultados, con una ligera variación de0,37 puntos. Esta situaciónrefleja una transferencia importante de votos de otros candidatos hacia Noboatras laeliminación de opciones en la primera ronda. La concentración del voto en dos alternativas permitió a Noboa captarapoyos decisivos en provincias estratégicas. Pichincha, por ejemplo, registró uncambio de 48,44% en primera vuelta para Noboa a 62,11%en la segunda. En provincias comoGuayas y El Oro,el candidato también logrósuperar a González, aunque con márgenes ajustados.",positivo,0.7,18,0,Renovación Política
El Comercio,¿Qué falta para proclamar resultados oficiales de la segunda vuelta electoral?El Consejo Nacional Electoral (CNE) aprobó este 24 de abril de 2025 los resultados numéricos de las elecciones presidenciales del 13 de....hace 2 días,https://www.elcomercio.com/actualidad/politica/que-falta-proclamar-resultados-oficiales-segunda-vuelta.html,¿Qué falta para proclamar resultados oficiales de la segunda vuelta electoral?El Consejo Nacional Electoral (CNE) aprobó este 24 de abril de 2025 los resultados numéricos de las elecciones presidenciales del 13 de.hace 2 días,"ElConsejo Nacional Electoral (CNE)aprobó este 24 de abril de 2025 losresultados numéricosde las elecciones presidenciales del13 de abril por la segunda vuelta electoral. Esta decisión se tomó tras desestimar losreclamos de la alianzaRevolución Ciudadana y RETOsobre más de1 800 actas de escrutinio. La resolución dejó como ganador aDaniel Noboa, de Acción Democrática Nacional, con el55,63 % de los votos. Su contendora,Luisa González, obtuvo el 44,37 %. La proclamación numérica se realizó el 24 de abril en sesión del pleno del CNE, con laparticipación de cuatro de los cinco consejeros. Tras la proclamación deresultados numéricos, la ley permite que los sujetos políticos presenten impugnaciones ante el mismo CNE. Este recursopuede interponerse hasta el domingo posterior a la resolución. En caso de que elConsejo considere que los argumentos ya fueron tratados, las impugnaciones serán negadas. Esta posibilidad se considera alta debido a que el organismoya resolvió sobre las actas objetadas. Frente a esto, la opción de los actores políticos será acudir alTribunal Contencioso Electoral (TCE). El TCE puede recibir apelaciones sobre laproclamación de resultados si los sujetos políticos deciden avanzar con este proceso. Cada recurso debe seguir lostiempos previstos en la normativa electoral vigente. La proclamación definitiva de resultados no se concretará hasta que elTCE certifique que no existen recursos pendientes. Esa certificación es el paso final antes de que elCNE declare formalmente al binomio ganador. Hasta entonces, el proceso electoral sigue abierto desde el punto de vista jurídico. Desde elConsejo Nacional Electoraltienen previsto proclamar resultados de la segunda vuelta hasta máximo el 16 de mayo de 2024.",neutro,0.0,2,0,Otros
El Comercio,"Observadores internacionales, organismos presentes y su evaluación en las elecciones 2025Misiones de la OEA y la UE observan las elecciones 2025 en Ecuador y destacan la normalidad y transparencia del proceso en las elecciones....9 feb 2025",https://www.elcomercio.com/elecciones/observadores-internacionales-organismos-evaluacion-elecciones-2025.html,"Observadores internacionales, organismos presentes y su evaluación en las elecciones 2025Misiones de la OEA y la UE observan las elecciones 2025 en Ecuador y destacan la normalidad y transparencia del proceso en las elecciones.9 feb 2025","Diversasmisiones de observación electoralestán presentes en Ecuador para seguir de cerca el desarrollo de las elecciones 2025. Entre los organismos internacionales que han desplegado observadores se encuentran laOrganización de los Estados Americanos (OEA) y la Unión Europea (UE), que han destacado la importancia de la participación ciudadana y la transparencia del proceso. Durante la jornada, elJefe de la Misión de Observación Electoral de la OEA, Heraldo Muñoz,reiteró el llamado a la ciudadanía a informarse a través de los canales oficiales y acudir a las urnas. En diálogo con los medios, el Jefe de la Misión de Observación Electoral de la#OEAenEcuador@HeraldoMunoz, reiteró a las y los ecuatorianos la importancia de acudir a las urnas, a informarse a través de los canales oficiales y destacó que el proceso se está desarrollando con…pic.twitter.com/ZfEiohPC71 Desde temprano, recorrió centros de votación en Quito, comenzando por la Unidad Educativa Diez de Agosto, en el barrio San Juan, donde operan25 juntas receptoras del voto. En su recorrido, dialogó con observadores de la misión y miembros de las mesas, constatando el inicio de la jornada. La Misión de Observación Electoral de la OEA cuenta con88 observadores y expertos distribuidos en 20 provincias del país, así como en cinco ciudades en el exterior, incluyendo España, Estados Unidos y el Reino Unido. Desde la apertura de las juntas receptoras del voto, los delegados han monitoreado el desarrollo del sufragio y la operatividad de los recintos. El organismo ha manifestado que el proceso se desarrolla con normalidad y que se mantendrán atentos al cierre de las mesas y al escrutinio de los votos. Hasta el momento,no se han reportado incidentes de gravedadque puedan comprometer la integridad de la jornada electoral, aunque continúan recopilando información de distintos puntos del país. Por su parte, laMisión de Observación Electoral de la Unión Europea, encabezada por Gabriel Mato Adrover, ha desplegado42 equipos a nivel nacionalpara verificar el cumplimiento de las normas electorales. Durante la jornada, Mato destacó laimportancia de permitir el acceso de observadores y veedoresa las juntas receptoras del voto con el objetivo de garantizar la transparencia del proceso. 🗳️#DecisiónEcuador2025| El jefe de la Misión de observadores electorales de la Unión Europea, Gabriel Mato, informó que 42 equipos están desplegados a escala nacional.📽️@rutainformarivapic.twitter.com/HPcgkjwlRH Los delegados de la UE han visitado distintos recintos para evaluar el desarrollo del sufragio y el cumplimiento de las disposiciones electorales. Hasta el momento, han reportado que la jornada transcurre en unambiente de tranquilidad, aunque continúan monitoreando la situación en diversas provincias del país para emitir un informe finalsobre su evaluación del proceso electoral. Conoce los candidatos, quienes son, sus planes de campaña, entrevistas y noticias de último momento.",neutro,0.0,0,0,Otros
El Comercio,"Nicolás Maduro insiste en que hubo un ‘tremendo fraude’ electoral en EcuadorNicolás Maduro reiteró este jueves 24 de abril de 2025 que hubo un “tremendo fraude” electoral en Ecuador, en la segunda vuelta presidencial....hace 1 día",https://www.elcomercio.com/actualidad/mundo/nicolas-maduro-insiste-tremendo-fraude-electoral-ecuador.html,"Nicolás Maduro insiste en que hubo un ‘tremendo fraude’ electoral en EcuadorNicolás Maduro reiteró este jueves 24 de abril de 2025 que hubo un “tremendo fraude” electoral en Ecuador, en la segunda vuelta presidencial.hace 1 día","Nicolás Maduroreiteró este jueves 24 de abril de 2025 que hubo un“tremendo fraude”electoral enEcuador, en lasegunda vuelta presidencial, desarrollada el 13 de abril. Maduro juró para un tercer mandato enVenezuela, tras unacuestionada reelección. Nicolás Maduro señaló que hubo un “tremendo fraude” electoral en las elecciones que resultó ganador elDaniel NoboadeAcción Democrática Nacional (ADN), frente a lacandidata del correísmo,Luisa González, que no reconoce el resultado. Maduro aseguró que elConsejo Nacional Electoral (CNE) cerró la puerta a cualquier revisión legal y constitucionalde los resultados. Agregó que el proceso electoral está plagado de “fraude, crimen, suciedad, violencia, represión, amenaza, y donde corrió billete del narcotráfico“. Y mientras tanto, prosiguió Maduro: “¿el señor Daniel Noboa dónde está? (…) con Mickey Mouse, en Miami”. El líder del chavismo en Venezuela se refirió alviaje que hizo el mandatarioecuatoriano por asuntos personales a Florida (Estados Unidos) desde el jueves de la semana pasada hasta el martes. Más información:CNE negó pedido de Revolución Ciudadana y proclamó resultados numéricos de segunda vuelta “Les hacen tremendo fraude, se profundiza la delincuencia, los problemas económicos, y la mejor idea que puede tener el señor Noboa es irse conMickey Mouse a Miami“, expresó. Agregó que eso es una“burla” y “desprecio”al pueblo. Recientemente, Maduro dijo que hubo un“fraude horroroso”en la segunda vuelta de las presidenciales ecuatorianas. Lapresidenta del CNE, Diana Atamaint,respondió que eso significa que están “haciendo bien las cosas”. Atamaint añadió que“lo grave hubiese sido” recibir una felicitaciónde parte del gobernante venezolano. Le puede interesar:Revolución Ciudadana publicó una hipótesis de fraude electoral a causa de ‘transferencia de tinta’ Elantichavista Juan Guanipacalificó de“cinismo”la denuncia de Maduro y el partido comunista PCV. Consideró que enel oficialismo venezolano “no se tiene la moral” para exigir transparencia. Este jueves, el CNE clausuró laAudiencia Pública Nacional de Escrutiniodel balotaje. Negó losreclamos del correísmoa más de 1 700 actas tras denunciar un supuesto “fraude”, que ha sido descartado por las principales misiones de observación internacional.  ",positivo,0.1,5,0,Seguridad
El Comercio,"Ivonne Núñez, ministra de Trabajo, puso su cargo a disposición de Daniel NoboaLa ministra de Trabajo, Ivonne Núñez, puso su cargo a disposición del presidente Daniel Noboa, este miércoles 23 de abril de 2025..hace 2 días",https://www.elcomercio.com/actualidad/politica/ivonne-nunez-ministra-trabajo-cargo-disposicion-daniel-noboa.html,"Ivonne Núñez, ministra de Trabajo, puso su cargo a disposición de Daniel NoboaLa ministra de Trabajo, Ivonne Núñez, puso su cargo a disposición del presidente Daniel Noboa, este miércoles 23 de abril de 2025.hace 2 días","Laministra de Trabajo, Ivonne Núñez, puso sucargo a disposicióndel presidenteDaniel Noboa, este miércoles 23 de abril de 2025. La disposición del cargo de Núñez se da aun mes de que el Presidente asuma el nuevo período 2025 – 2029. Durante lacampaña de segunda vuelta, elpresidente Daniel Noboahabló de ciclos y no descartó hacer cambios. Confirmada suvictoria electoral, el mandatario realizó losprimeros tres cambios,antes de un viaje personal a Estados Unidos, el pasado 16 de abril. Le puede interesar:Daniel Noboa define comitiva para gira oficial por Europa, Asia y Oriente Medio El Presidente designó aLuis Alberto Jaramillo Granja, hasta ahora Ministro de Economía y Finanzas, comoMinistro de la Producción, Comercio Exterior, Inversiones y Pesca. En elMinisterio de Economía y Finanzaspuso a Sariha Belén Moya Angulo. Además, designó a Andrea Carolina Sánchez Aguirre comoSecretaria Nacional de Planificación, encargada. Ivonne Núñez, ministra de Trabajo,remitió una carta al presidente Daniel Noboa poniendo a disposición su cargo, el miércoles. En la carta, la Ministra, designada en noviembre del 2023, señaló que tomó la resolución después de que el mandatario fuereelegido para gobernar hasta el 2029. Esto, tras obtener la victoria electoral en lasegunda vuelta de las elecciones presidenciales. Más noticias:Daniel Noboa visitó Disney World junto a su familia “Al haber usted obtenido el día 13 de abril del presente año, mediante votación libre, popular y democrática, ladesignación de Presidente de la República para el periodo 2025-2029,concluyendo de esta manera elperiodo de transición(muerte cruzada), está a su disposición mi cargo de Ministra de Estado”, expresó Núñez. La noche del miércoles, elministro de Salud, Edgar José Lama,hizo una publicación en la que decía que sigue trabajando “sin parar”. ",positivo,0.3,10,0,"Economía, Renovación Política"
El Comercio,"Daniel Noboa vetó totalmente el proyecto de Ley del Servicio Cívico Militar Voluntario; estas son las razonesEl proyecto de Ley de Servicio Cívico Militar Voluntario, vetado por Daniel Noboa, fue aprobado por unanimidad en la Asamblea el pasado 18....hace 5 días",https://www.elcomercio.com/actualidad/politica/daniel-noboa-veto-totalmente-proyecto-ley-servicio-civico-militar-voluntario.html,"Daniel Noboa vetó totalmente el proyecto de Ley del Servicio Cívico Militar Voluntario; estas son las razonesEl proyecto de Ley de Servicio Cívico Militar Voluntario, vetado por Daniel Noboa, fue aprobado por unanimidad en la Asamblea el pasado 18.hace 5 días","Elpresidente Daniel Noboa vetó totalmenteelproyecto de Ley de Servicio Cívico Militar Voluntario, Reservas e Identificación Militar, este lunes 21 de abril de 2025. El documento fue aprobado porunanimidad en la Asambleael pasado 18 de marzo. El proyecto deLey del Servicio Cívico Militar Voluntariofue aprobado por la Asamblea en segundo debate por unanimidad. El objetivo era regular el servicio militar voluntario y las reservas, de acuerdo a las necesidades de lasFuerzas Armadas (FF.AA.)y normar el otorgamiento de la identificación militar. La iniciativa legal proponía, entre otros puntos, ellicenciamiento anticipado para las conscriptas en estado de gestación. Le puede interesar:1 800 reservistas de las Fuerzas Armadas reforzarán la seguridad en la segunda vuelta Además, la disposición para que medios de comunicación públicos y privadosdifundan información sobre el llamado a reservas, con el fin de ampliar el alcance de la convocatoria y fomentar el alistamiento de jóvenes. Establecía que todos los miembros de las FF. AA. y reservistas cuenten con ladocumentación que acredite su estatus. El proyecto contiene53 artículos, cinco disposiciones generales, tres reformatorias, una derogatoria y dos disposiciones finales. Pedro Velasco, asambleísta de Avanza, presentó esta iniciativa legal y laComisión de Soberanía, Integración y Seguridad Integralde la Asamblea la  tramitó. Más noticias:Daniel Noboa lamenta la muerte del papa Francisco En cuatro apartados, el presidente Daniel Noboa señala desdeerroresde fondo hasta errores de forma en el proyecto de Ley del Servicio Cívico Militar Voluntario. Noboa sostiene que la aplicación de esta leyafectaría el régimen de Administración de Personal de las Fuerzas Armadas (FF. AA.). Esto, porque sugiere la creación de un“subsistema ambiguo de gestión”para el personal en servicio militar voluntario y de reserva; lo cual, transgredería el derecho a laseguridad jurídica. Señala que la implementación deleyes imprecisas y ambiguaspueden dar lugar a la vulneración de derechos fundamentales y principios constitucionales. El primer apartado del veto se refiere a lasinfracciones y proceso sancionatorioen el servicio cívico militar voluntario. El Presidente señala que el proyecto no define con claridad losdeberes, responsabilidades, derechos, obligaciones y prohibicionesde quienes integran el servicio cívico militar voluntario y las reservas. Le puede interesar:Bloque de Seguridad fue al Hospital Carlos Andrade Marín en Quito por amenazas al personal Esto hace que la adjudicación deresponsabilidad administrativacarece de reglas claras. El segundo punto es la situación jurídica de las personas que conforman lareserva militar. Noboa expresa que el proyecto no desarrolla lasatribuciones, deberes, organización, misión, régimen disciplinarioni otros aspectos relevantes para el ejercicio de sus funciones. El tercer punto es sobre elpresupuesto general del Estadorelacionado con el servicio cívico militar voluntario y personal de reserva militar, pues no se establece un mecanismo de financiamiento. Finalmente, el Presidente se refiere a“errores de redacción”, fallas y uso de signos de puntuación que deben corregirse para no generar confusión. Una vez en la Asamblea, este proyecto no podrá ser tratado nuevamente por los legisladoreshasta un año después de la notificación del veto total. ",positivo,0.05000000000000001,8,0,Seguridad
El Comercio,Posibles atentados contra Daniel Noboa se conocieron dos días antes de las eleccionesLa Casa Militar Presidencial reveló las acciones criminales que planificaban los grupos armados organizados en contra del presidente Daniel....hace 6 días,https://www.elcomercio.com/actualidad/politica/posibles-atentados-daniel-noboa-conocieron-antes-elecciones-2025.html,Posibles atentados contra Daniel Noboa se conocieron dos días antes de las eleccionesLa Casa Militar Presidencial reveló las acciones criminales que planificaban los grupos armados organizados en contra del presidente Daniel.hace 6 días,"LaCasa Militar Presidencialreveló las acciones criminales que planificaban  los grupos armados organizados en contra del presidenteDaniel Noboa y atentados en contra de las autoridades. El presidente deEcuador, Daniel Noboa,emitió el 12 de abril de 2025 el Decreto 599, a través del cual declara el estado de excepción en siete provincias. Estas sonGuayas, Los Ríos, Manabí, Orellana, Santa Elena, El Oro, Sucumbíos. Además, en dos cantones: Quito (Pichincha) y Camilo Ponce Enríquez (Azuay). El decreto también incluye en elestado de excepcióna los centros de privación de libertad (CPL) que integran el Sistema Nacional de Rehabilitación Social a escala nacional, por grave conmoción interna. Este decreto se fundamenta en el incremento de índices de violencia, cometimiento de delitos e intensidad de la perpetración de delitos por parte de grupos armados organizados. Este estado de excepción tiene una vigencia de 60 días. El Decreto 599 se expidió un día antes de las elecciones generales de la segunda vuelta, que se desarrollaron el 13 de abril de 2025, para elegir al nuevo presidente de Ecuador, entreDaniel Noboa, de ADN, y Luisa González, de la Revolución Ciudadana. En el Decreto 599 se expone lo siguiente. “Mediante Boletín de Seguridad de 11 de abril de 2025, elaborado por la Casa Militar Presidencial, calificado como secreto, de manera general, sin revelar la información del mismo, detalla las acciones criminales en contra del máximo mandatario”, por parte de grupos armados organizados, como atentados a autoridades.En ese documento de la Casa Militar Presidencial se indica que también se hace un análisis situacional al respecto, dice el decreto. No se emiten más detalles sobre ese informe secreto. Sin embargo, en el Decreto 599 se explica la situación de la inseguridad en el país. En uno de los argumentos se explica que hay un incremento de la intensidad de la perpetración de ilícitos por grupos armados organizados. Estos grupos criminales se sitúan en las provincias de Guayas, Los Ríos, Manabí, Orellana, Santa Elena, El Oro y Sucumbíos. También, en el Distrito Metropolitano de Quito, de la provincia de Pichincha, y el cantón Camilo Ponce Enríquez de la provincia de Azuay. Lo mismo ocurre en los centros de privación de libertad que comprenden el Sistema Nacional de Rehabilitación Social del país. ElMinisterio de Gobiernoemitió un comunicado, en el cual se asegura que el Estado ecuatoriano está en “alerta máxima” de seguridad después de que un informe de inteligencia del Comando Conjunto de las Fuerzas Armadas alertara de la supuesta planificación de “atentados terroristas” contra el presidente, Daniel Noboa, y miembros de su Gabinete. A través de un comunicado difundido en redes sociales este sábado 19 de abril de 2025, el Ministerio de Gobierno se refirió a un documento interno de las Fuerzas Armadas en el que se menciona “traslados de sicarios desde México y otros países a Ecuador para realizar atentados terroristas contra Noboa y su equipo de trabajo”. El oficio, con fecha del 17 de abril y cuya autenticidad fue confirmada por el ministro de Gobierno, José De La Gasca, señala que estas supuestas acciones de organizaciones criminales se iniciaron tras las elecciones del domingo, en las que Noboa fue reelegido frente la candidata correísta Luisa González. Enlace externo:Conflicto armado interno en Ecuador ",neutro,0.03888888888888889,10,0,"Seguridad, Economía"
